States,Districts,Talukas
,Solan,Ghansawangi
,Una,Partur
,Anantnag,Mantha 
,Bandipora,Kannad
,Baramulla,Soegaon
,Badgam,Sillod
,Doda,Phulambri
,Ganderbal,Khuldabad 
,Jammu,Vaijapur 
,Kargil,Gangapur
,Kathua,Paithan
,Kishtwar,Ashti 
,Kulgam,Patoda
,Kupwara,Shirur-Kasar
,Leh,Georai 
,Poonch,Majalgaon 
,Pulwama,Wadwani
,Rajouri,Kaij 
,Ramban,Dharur
,Reasi,Parli
,Samba,Ambejogai
,Shopian,Renapur
,Srinagar,Ahmadpur
,Udhampur,Jalkot
,Bokaro,Chakur
,Chatra,Shirur Anantpal 
,Deoghar,Ausa
,Dhanbad,Nilanga
,Dumka,Deoni
,East Singhbhum,Udgir 
,Garhwa,Tuljapur 
,Giridih,Bhum
,Godda,Paranda 
,Gumla,Washi
,Hazaribag,Kalamb
,Jamtara,Lohara
,Khunti,Umarga
,Koderma,Barshi
,Latehar,Solapur South
,Lohardaga,Akkalkot 
,Pakur,Madha
,Palamu,Karmala 
,Ramgarh,Pandharpur
,Ranchi,Mohol
,Sahibganj,Malshiras
,Seraikela Kharsawan,Sangole
,Simdega,Mangalvedhe 
,West Singhbhum,Shevgaon 
,Bagalkot,Pathardi
,Ballari,Parner
,Belagavi,Sangamner
,Bengaluru Rural,Kopargaon
,Bengaluru Urban,Akole
,Bidar,Shrirampur
,Chamarajnagar,Nevasa 
,Chikkaballapur,Rahata
,Chikkamagaluru,Rahuri
,Chitradurga,Shrigonda
,Dakshina Kannada,Karjat 
,Davanagere,Jamkhed
,Dharwad,Haveli 
,Gadag,Khed 
,Hassan,Junnar
,Haveri,Ambegaon 
,Kalaburagi,Maval 
,Kodagu,Mulshi 
,Kolar,Shirur
,Koppal,Purandhar 
,Mandya,Velhe 
,Mysuru,Bhor
,Raichur,Baramati
,Ramanagara,Indapur
,Shivamogga,Daund
,Tumakuru,Jaoli 
,Udupi,Koregaon
,Uttara Kannada,Wai
,Vijayapura,Mahabaleshwar
,Yadgir,Khandala
,Alappuzha,Phaltan
,Ernakulam,Maan 
,Idukki,Khatav 
,Kannur,Patan
,Kasaragod,Karad 
,Kollam,Kavathe-Mahankal 
,Kottayam,Tasgaon 
,Kozhikode,Jat 
,Malappuram,Walwa 
,Palakkad,Shirala 
,Pathanamthitta,Khanapur-Vita
,Thrissur,Atpadi 
,Thiruvananthapuram,Palus
,Wayanad,Kadegaon
,Lakshadweep,Panhala 
,Agar Malwa,Shahuwadi 
,Alirajpur,Kagal
,Anuppur,Hatkanangale
,Ashok Nagar,Shirol
,Balaghat,Radhanagari
,Barwani,Gaganbawada
,Betul,Bhudargad 
,Bhind,Gadhinglaj 
,Bhopal,Chandgad 
,Burhanpur,Ajra 
,Chhatarpur,Nagar 
,Chhindwara,Akola
,Damoh,Amravati 
,Datia,Aurangabad
,Dewas,Beed 
,Dhar,Bhandara
,Dindori,Buldhana
,Guna,Chandrapur
,Gwalior,Dhule
,Harda,Gadchiroli
,Hoshangabad,Gondia 
,Indore,Hingoli 
,Jabalpur,Jalgaon
,Jhabua,Jalna 
,Katni,Karvir
,Khandwa (East Nimar),Latur
,Khargone (West Nimar),Kurla 
,Mandla,Nagpur
,Mandsaur,Nanded
,Morena,Nandurbar
,Narsinghpur,Nashik
,Neemuch,Osmanabad 
,Panna,Palghar
,Raisen,Parbhani
,Rajgarh,Pune City
,Ratlam,Ratnagiri
,Rewa,Miraj 
,Sagar,Satara
,Satna,Kankavli
,Sehore,Solapur North
,Seoni,Thane
,Shahdol,Wardha
,Shajapur,Washim
,Sheopur,Yavatmal
,Shivpuri,
,Sidhi,
,Singrauli,
,Tikamgarh,
,Ujjain,
,Umaria,
,Vidisha,
,Ahmednagar,
,Akola,
,Amravati,
,Aurangabad,
,Beed,
,Bhandara,
,Buldhana,
,Chandrapur,
,Dhule,
,Gadchiroli,
,Gondia,
,Hingoli,
,Jalgaon,
,Jalna,
,Kolhapur,
,Latur,
,Mumbai,
,Mumbai City,
,Mumbai suburban,
,Nanded,
,Nandurbar,
,Nagpur,
,Nashik,
,Osmanabad,
,Palghar,
,Parbhani,
,Pune,
,Raigad,
,Ratnagiri,
,Sangli,
,Satara,
,Sindhudurg,
,Solapur,
,Thane,
,Wardha,
,Washim,
,Yavatmal,
,Bishnupur,
,Thoubal,
,Imphal East,
,Imphal West,
,Senapati,
,Ukhrul,
,Chandel,
,Churachandpur,
,Tamenglong,
,Jiribam,
,Kangpokpi (Sadar Hills),
,Kakching,
,Tengnoupal,
,Kamjong,
,Noney,
,Pherzawl,
,East Garo Hills,
,East Khasi Hills,
,East Jaintia Hills,
,North Garo Hills,
,Ri Bhoi,
,South Garo Hills,
,South West Garo Hills,
,South West Khasi Hills,
